Office_Products 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0132,0.0083,0.0068	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0076,0.0047,0.0037	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0061,0.0030,0.0020	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0102,0.0059,0.0045	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0319,0.0220,0.0188	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0407,0.0261,0.0213	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0450,0.0304,0.0257	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0477,0.0310,0.0256	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0451,0.0298,0.0248	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0465,0.0302,0.0248	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0471,0.0307,0.0254	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0449,0.0291,0.0239	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0023,0.0018,0.0016	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0089,0.0059,0.0049	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0158,0.0101,0.0082	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0197,0.0122,0.0098	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0234,0.0151,0.0124	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0279,0.0175,0.0141	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0290,0.0189,0.0156	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0309,0.0199,0.0163	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0331,0.0219,0.0183	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0349,0.0228,0.0188	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0370,0.0237,0.0194	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0062,0.0043,0.0037	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0063,0.0046,0.0040	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0057,0.0043,0.0038	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0057,0.0043,0.0038	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0062,0.0045,0.0040	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0063,0.0041,0.0034	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0081,0.0052,0.0043	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0086,0.0056,0.0046	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0094,0.0063,0.0052	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0097,0.0065,0.0054	||||
Sport 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0096,0.0063,0.0053	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0066,0.0043,0.0035	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0081,0.0053,0.0044	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0079,0.0052,0.0043	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0071,0.0048,0.0041	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0081,0.0053,0.0044	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0087,0.0057,0.0047	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0095,0.0059,0.0047	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0089,0.0056,0.0045	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0105,0.0065,0.0051	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0099,0.0069,0.0059	||||
Baby 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0107,0.0071,0.0059	||||
Instant_Video 	 M3IB	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0183,0.0059,0.0027	||||
Instant_Video 	 M3IB	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0848,0.0337,0.0203	||||
Instant_Video 	 M3IB	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0925,0.0346,0.0193	||||
Instant_Video 	 M3IB	 60  	 ||||Top-20 	 0.0000 TEST SET,0.1392,0.0530,0.0298	||||
Instant_Video 	 M3IB	 80  	 ||||Top-20 	 0.0000 TEST SET,0.1756,0.0703,0.0416	||||
Instant_Video 	 M3IB	 100  	 ||||Top-20 	 0.0000 TEST SET,0.1868,0.0800,0.0509	||||
Instant_Video 	 M3IB	 120  	 ||||Top-20 	 0.0000 TEST SET,0.1942,0.0861,0.0562	||||
Instant_Video 	 M3IB	 140  	 ||||Top-20 	 0.0000 TEST SET,0.2006,0.0929,0.0632	||||
